time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
341.2674870999999,24,41,303478,172272,27840,14710,12469,9316,3719,1101,0,0
342.2710852,41,50,198017,25305,20729,6072,4596,9471,1019,4292,0,0
345.2858339000004,40,61,98851,13702,10557,13213,4093,3539,3438,2804,0,0
346.2947247000002,30,41,123320,67307,1197,5941,3418,1987,601,1102,0,0
349.31975240000065,38,47,1398940,192597,52777,63320,30314,32628,11441,8180,0,0
350.3304766000001,30,41,1425213,75619,15623,24896,23238,9672,2185,3491,0,0
351.34158410000055,26,29,169532,140424,36573,4126,6322,9154,5441,3671,0,0
352.34246430000076,43,41,33968,26792,4448,14747,6766,11173,2433,1817,0,0
353.35259960000076,48,41,14461,13203,1869,8511,7473,4863,1885,2547,0,0
354.36297450000075,44,48,216771,34213,37302,4000,11546,3900,963,727,0,0
355.3709129000008,47,63,65928,13153,31534,3532,3994,2328,2515,1441,0,0
357.38659499999994,27,56,360932,208362,25966,15005,10084,5371,401,317,0,0
360.40888410000025,11,57,201236,91160,49273,10274,7493,4402,4856,3493,0,0
361.4124417000003,11,61,7319,28849,44185,6476,4222,3884,2324,2471,0,0
362.4189094000003,7,53,10666,51214,19636,16038,5194,2161,1172,2216,0,0
363.4278385000007,14,60,63436,12635,5955,369,529,1021,337,356,0,0
364.4376622,20,64,6578,15826,17956,11697,8121,3003,2338,833,0,0
365.4513936000003,20,63,2580,19988,17808,4865,1643,2199,2219,994,0,0
366.4597087000002,17,54,87100,25664,4883,1212,1219,712,293,779,0,0
367.46150040000066,20,63,7044,27932,44341,7078,2559,4097,1610,830,0,0
368.4687582000006,21,70,2312,13203,45619,10225,943,5319,1804,1448,0,0
369.4820432000006,13,67,121684,53149,41873,4987,6085,1944,1240,2579,0,0
372.5044381000007,27,80,2060,14520,14234,2161,1352,5593,1917,1442,0,0
373.51323480000065,38,69,20568,15136,866,8186,5012,5008,2102,1551,0,0
374.51816899999994,38,63,11972,16365,24636,9532,6472,3488,1358,1048,0,0
375.5318718000008,43,77,959,10500,23205,63881,5164,3089,1894,2219,0,0
376.5366778000007,40,87,5582,8084,38961,9105,2819,6535,3169,2021,0,0
377.5415327999999,27,80,107106,32125,1856,3689,2152,1916,419,699,0,0
378.55185880000045,29,80,325482,9307,10945,13360,2275,3099,1898,1822,0,0
379.56451840000045,38,54,167713,64432,7141,6113,7700,6669,2431,2638,0,0
380.5773786,30,47,21324,27105,18727,13442,4010,3118,2125,1475,0,0
381.5802541000003,43,53,12343,14786,5420,8167,15714,6621,4197,2435,0,0
384.6067751999999,41,57,10459,4010,41598,15202,9265,3795,2039,835,0,0
385.60898440000074,27,57,106153,44705,3155,4469,2031,919,540,486,0,0
386.61393790000056,21,53,75888,24572,9282,1477,1022,810,577,618,0,0
387.6162463999999,14,64,7330,17104,21165,18843,3069,4246,1651,2390,0,0
388.6264955000006,7,57,4643,51868,68768,8653,4478,3156,1856,1933,0,0
389.63503370000035,13,56,61680,25941,811,2551,784,1315,540,325,0,0
390.64138920000005,17,53,67927,24935,4998,3980,1609,1590,800,413,0,0
391.6529016000004,4,60,2203,12351,57391,11241,3849,1012,3444,1870,0,0
392.6550749000007,10,56,13305,55353,41954,9954,1648,4848,809,816,0,0
393.6648348000008,4,63,130825,69432,17405,3760,3125,1929,536,703,0,0
396.6978687999999,1,87,15568,2689,84702,14599,3571,2252,2291,1954,0,0
397.7040655999999,14,77,11158,16115,22585,14493,2558,4668,1270,1086,0,0
398.7160635,21,74,4124,22989,12914,7596,1905,4419,1407,903,0,0
399.7186038,30,83,6165,7817,19590,9019,10205,3551,1293,1290,0,0
400.73049700000047,37,54,7064,115744,23492,3939,8282,5329,3667,2122,0,0
401.7373157000002,35,54,24171,14166,30174,8888,8277,3656,719,1549,0,0
402.7467016999999,29,44,151574,77230,6773,8208,3115,5585,4518,2299,0,0
403.75269110000045,29,41,1271197,17002,12965,16180,12996,3888,2132,3269,0,0
404.7628648,38,53,41994,14376,10172,23229,9893,5579,13164,13481,0,0
405.7746438000004,37,48,22399,29592,22680,3038,4504,3113,862,428,0,0
409.8032266,30,51,825992,96221,24296,8870,9500,3615,650,1168,0,0
